popit_id,politician_name,director_name,similarity,project_sum,project_count,first_project,last_project
545e47a85222837c2c0594bb,Datuk Abdul Rahim Bin Ismail,ABDUL RAHIM BIN ISMAIL,0.8654244306,5976626152,90,0000-00-00,2011-03-01
55ae327501b08f8575a9f510,Rosman Abdullah,ROSMAN BIN ABDULLAH,0.8253968254,4744654345,69,0000-00-00,2004-09-03
545e483f5222837c2c059623,Zakaria Bin Abdul Hamid,ZAKARIA BIN ABDUL HAMID,1,4213634832,67,1996-08-16,2011-06-23
55a666abfdacb16a7c385a60,Abdul Hamid Sh Mohamed,ABDUL HAMID BIN SH MOHAMED,0.8323809524,2900000000,3,2004-06-02,2006-11-22
55b4c1c098f2c81a501e11e3,Foo Chu Pak,FOO CHU PAK,1,1377518610,38,0000-00-00,2011-12-19
545e481f5222837c2c0595d7,Mohd Yusof Bin Din,MOHD YUSOF BIN DIN,1,1136582080,84,1995-12-14,2011-11-12
545e43825222837c2c058a64,Ahmad Bin Saad,AHMAD BIN SAAD ,1,1061034094,109,1998-01-18,2011-10-31
545e44d15222837c2c058da1,Hee Loy Sian,HEE LOY SIAN,1,1048560449,67,0000-00-00,2012-03-02
545e44245222837c2c058bf6,Roslan Bin Zainal,ROSLAN BIN ZAINAL,1,1003728286,20,1998-09-05,2011-10-03
545e48ba5222837c2c059750,Limus Bin Jury,LIMUS BIN JURY,1,847585570,18,2002-03-07,2012-02-24
545e44a85222837c2c058d3a,Baderisham Bin Jolly,BADERISHAM BIN JOLLY,1,726793823,23,0000-00-00,2010-12-17
545e44635222837c2c058c8e,Sng Chee Hua,NG CHEE HUA,0.8590909091,654385436,85,1991-12-24,2011-09-27
545e44d85222837c2c058db2,Ramlee Bin Marahaban,RAMLEE BIN MARAHABAN,1,504162900,16,2002-05-13,2011-11-30
545e443b5222837c2c058c2d,Lee Chee Leong,E CHEE LEONG,0.8391608392,495263313,10,2004-06-17,2012-02-15
545e46585222837c2c059172,Najmuddin Bin Darus,NAJMUDDIN BIN DARUS,1,435258044,3,2006-10-20,2009-06-01
545e47675222837c2c05941a,Mohamad Daud Bin Mohd Yusoff,MOHAMAD DAUD BIN MOHD. YUSOFF,0.8630769231,433109905,26,1996-12-09,2009-01-21
545e44f75222837c2c058e01,Zulkifli Bin Abdullah,DZULKIFLI BIN ABDULLAH,0.9195906433,408092894,21,1996-10-30,2011-06-07
545e46b45222837c2c05925a,Ibrahim Bin Ismail,IBRAHIM BIN ISMAIL,1,386234648,18,1997-07-02,2012-03-19
545e43395222837c2c0589ad,Azmi Bin Ahmad,AZMI BIN AHMAD,1,370112738,33,1996-09-24,2011-08-17
545e451c5222837c2c058e5c,Mohamad Ziad Bin Mohamed Zainal Abidin,MOHD ZIAD BIN MOHAMED ZAINAL ABIDIN,0.8959821429,356188412,13,0000-00-00,2009-11-25
